score,day,contributors_timing,contributors_deep_sleep,contributors_restfulness,contributors_efficiency,contributors_latency,contributors_rem_sleep,contributors_total_sleep
65,2019-02-05,41,11,73,98,91,97,59
51,2019-02-06,10,4,66,96,99,79,34
71,2019-02-08,1,1,60,83,88,100,100
52,2019-02-09,74,1,63,96,90,40,35
34,2019-02-10,18,1,74,55,19,54,23
74,2019-02-11,14,1,66,83,94,100,100
58,2019-02-12,1,1,52,30,33,100,96
70,2019-02-13,20,1,57,97,48,100,100
72,2019-02-14,73,11,68,90,51,100,85
69,2019-02-15,19,6,65,100,85,100,82
82,2019-02-16,100,13,56,96,81,100,100
71,2019-02-18,39,1,61,55,78,100,98
61,2019-02-19,96,1,65,88,98,60,48
78,2019-02-20,56,3,72,96,73,100,98
65,2019-02-21,1,7,56,79,93,98,84
74,2019-02-22,1,12,53,96,98,100,100
63,2019-02-23,1,1,60,76,13,100,100
44,2019-02-24,90,1,62,74,85,15,24
75,2019-02-25,11,17,64,83,93,100,100
65,2019-02-26,72,3,67,95,96,61,65
75,2019-02-27,16,3,70,95,81,100,100
62,2019-02-28,53,51,68,88,85,59,53
78,2019-03-01,51,4,69,88,84,100,100
74,2019-03-02,22,25,66,98,93,99,87
71,2019-03-03,81,3,65,74,1,100,100
75,2019-03-04,10,3,59,97,99,100,100
74,2019-03-05,22,31,60,72,79,98,100
50,2019-03-06,39,3,68,93,78,46,41
75,2019-03-07,78,1,59,96,98,97,82
73,2019-03-08,44,1,62,88,93,99,89
63,2019-03-09,100,1,70,81,60,64,64
75,2019-03-10,23,8,50,93,98,100,100
78,2019-03-11,21,34,61,97,85,100,100
75,2019-03-12,8,17,58,93,98,100,100
60,2019-03-13,10,1,51,88,91,87,72
73,2019-03-14,100,1,65,72,22,100,96
69,2019-03-15,21,1,65,88,96,97,84
61,2019-03-16,20,7,62,90,96,83,64
68,2019-03-17,26,1,66,97,98,96,76
76,2019-03-18,19,10,60,98,94,100,100
65,2019-03-19,20,4,68,98,85,81,75
73,2019-03-20,14,24,67,100,91,98,87
63,2019-03-21,9,11,66,79,91,88,71
68,2019-03-22,2,1,61,90,43,100,100
74,2019-03-23,1,1,67,100,94,100,98
42,2019-03-24,15,13,62,93,98,22,24
71,2019-03-25,1,15,56,88,75,98,100
37,2019-03-26,1,1,50,76,90,31,29
71,2019-03-27,1,8,66,74,78,100,100
67,2019-03-28,23,1,58,81,46,100,94
57,2019-03-29,7,10,58,96,99,53,61
72,2019-03-30,1,1,56,96,93,100,100
55,2019-03-31,1,1,60,53,1,99,89
44,2019-04-01,20,1,68,86,94,20,33
73,2019-04-02,1,1,62,98,93,100,100
65,2019-04-03,4,1,59,72,40,100,100
67,2019-04-04,54,1,63,100,88,79,72
74,2019-04-05,35,13,59,81,76,99,100
30,2019-04-06,14,1,55,51,46,20,25
70,2019-04-07,100,13,64,90,82,60,73
74,2019-04-08,13,10,64,76,91,100,100
65,2019-04-09,7,2,59,51,72,97,94
74,2019-04-10,21,1,61,96,85,100,100
73,2019-04-11,18,1,60,95,81,100,100
71,2019-04-12,1,1,60,90,82,100,100
71,2019-04-13,12,4,58,79,82,100,100
51,2019-04-14,59,1,60,93,90,38,39
76,2019-04-15,10,24,65,98,85,100,100
68,2019-04-16,16,9,66,83,90,92,83
68,2019-04-17,20,1,62,88,23,100,100
60,2019-04-18,4,1,67,81,75,92,70
56,2019-04-19,1,12,59,72,84,73,65
43,2019-04-20,1,1,63,93,29,35,50
56,2019-04-21,49,1,61,88,90,55,52
62,2019-04-22,5,1,70,93,94,97,65
75,2019-04-23,16,15,62,88,88,100,100
54,2019-04-24,63,1,67,83,93,53,43
66,2019-04-25,15,1,57,88,79,99,83
73,2019-04-26,1,16,62,88,87,100,100
72,2019-04-27,4,1,60,83,96,100,100
75,2019-04-28,71,7,56,51,93,98,99
79,2019-04-29,73,1,64,76,93,100,100
57,2019-04-30,1,8,61,90,96,92,54
70,2019-05-01,100,2,72,96,84,96,61
54,2019-05-02,50,1,67,58,1,87,71
62,2019-05-03,94,1,56,65,91,63,63
71,2019-05-05,23,17,71,100,96,96,78
64,2019-05-06,100,1,57,72,39,90,72
74,2019-05-07,28,9,57,96,70,100,100
51,2019-05-08,76,1,65,97,96,33,33
48,2019-05-09,77,1,63,62,18,60,48
73,2019-05-10,12,1,64,79,90,100,100
69,2019-05-11,100,1,58,90,85,81,70
70,2019-05-12,86,1,66,83,93,85,71
81,2019-05-13,77,1,65,99,87,98,100
80,2019-05-14,55,2,67,100,98,100,100
67,2019-05-15,43,1,60,55,78,99,88
49,2019-05-16,89,1,53,72,96,38,33
60,2019-05-17,100,1,66,83,76,57,54
70,2019-05-18,24,1,68,100,88,87,86
77,2019-05-19,65,1,63,86,79,100,99
82,2019-05-20,90,1,65,99,81,100,100
75,2019-05-21,21,13,58,100,84,91,100
67,2019-05-22,16,1,62,83,23,100,100
77,2019-05-23,69,25,45,86,70,100,100
73,2019-05-24,32,17,52,69,86,100,100
42,2019-05-25,49,1,56,96,83,23,25
57,2019-05-26,95,7,63,97,91,40,43
69,2019-05-27,7,8,57,90,91,90,92
76,2019-05-28,18,48,52,93,75,100,100
49,2019-05-29,100,5,52,69,1,27,59
76,2019-05-30,51,1,54,96,86,98,100
72,2019-05-31,8,8,51,86,91,100,100
62,2019-06-01,80,25,52,97,78,50,60
34,2019-06-02,1,1,66,65,86,14,22
70,2019-06-03,1,15,52,72,81,100,100
67,2019-06-04,46,4,45,67,35,100,100
48,2019-06-05,96,1,49,81,51,40,38
67,2019-06-06,11,10,57,58,67,98,97
53,2019-06-07,1,21,35,55,51,98,73
49,2019-06-08,1,1,55,88,81,60,51
53,2019-06-09,48,1,48,69,54,26,74
66,2019-06-10,1,2,51,69,67,100,100
38,2019-06-11,24,1,45,88,72,23,30
66,2019-06-12,30,1,60,76,70,96,84
69,2019-06-13,5,3,57,79,83,95,98
64,2019-06-14,7,6,55,79,20,100,100
61,2019-06-15,12,1,65,100,75,85,70
43,2019-06-16,100,1,44,44,17,45,45
62,2019-06-18,82,5,49,51,29,89,84
77,2019-06-19,62,1,52,95,94,97,97
53,2019-06-20,7,24,62,93,91,50,48
69,2019-06-21,32,1,51,83,51,100,100
62,2019-06-22,100,13,73,96,67,54,52
69,2019-06-23,100,25,66,88,56,79,68
72,2019-06-24,1,15,52,83,97,100,100
70,2019-06-25,15,57,53,96,78,86,82
70,2019-06-26,15,5,57,74,75,99,100
53,2019-06-27,100,29,61,67,3,47,56
77,2019-06-28,31,34,61,93,86,97,96
31,2019-06-29,32,1,55,69,27,10,25
54,2019-06-30,45,28,61,69,8,78,64
59,2019-07-01,17,51,62,95,78,76,52
68,2019-07-02,24,20,48,67,46,100,100
56,2019-07-03,88,1,70,72,1,87,59
71,2019-07-04,14,3,50,76,91,100,100
70,2019-07-05,58,1,59,96,83,84,84
37,2019-07-06,1,22,60,55,6,52,42
56,2019-07-07,2,2,52,67,97,72,70
61,2019-07-08,12,20,59,60,1,97,95
56,2019-07-09,87,6,42,76,99,43,54
77,2019-07-10,74,11,56,58,97,100,100
69,2019-07-11,48,1,66,88,17,99,96
69,2019-07-12,93,25,70,90,40,77,74
63,2019-07-13,20,9,59,90,59,83,81
77,2019-07-14,41,21,56,95,75,100,100
72,2019-07-15,65,27,60,96,70,87,81
52,2019-07-16,25,26,65,69,27,71,57
38,2019-07-17,1,6,65,69,97,36,21
76,2019-07-18,8,45,60,99,67,100,100
40,2019-07-20,1,1,41,37,8,80,60
49,2019-07-21,17,14,50,98,64,57,46
55,2019-07-22,1,39,53,97,78,70,53
64,2019-07-23,100,32,58,83,91,60,54
